Accession	Virus Name	Submitter Affiliation	Submitter Names	dataset
MN301107.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301103.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301101.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301099.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301097.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301096.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301095.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301093.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301092.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301091.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301090.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301087.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301084.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301081.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301077.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301074.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301068.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301064.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301060.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301058.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301057.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301054.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301052.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301051.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301049.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301046.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301043.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301041.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301037.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301032.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301031.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301030.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301029.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301028.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301024.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301020.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301013.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301011.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN301000.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300999.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300995.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300993.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300991.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300989.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300988.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300983.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300980.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300979.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300977.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300976.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300972.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300971.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300968.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300967.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300963.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300962.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300960.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
MN300958.1	Influenza A virus	ETH Zuerich, D-BSSE	Mueller,N.F.,Wuethrich,D.,Seth-Smith,H.M.,Hollenstein,Y.,Syedbasha,M.,Lang,D.,Neher,R.A.,Dubuis,O.,Negele,M.,Buser,A.,Nickel,C.H.,Ritz,N.,Zeller,A.,Lang,B.M.,Hadfield,J.,Bedford,T.,Battegay,M.,Schneider-Sliwa,R.,Egli,A.,Stadler,T.	seasonal-flu-h3n2-ha-na-2016-2018-na
